10/13/2014 23:06:02 [INFO] Starting to load clientlist.cdp
10/13/2014 23:06:02 [ERROR] Unidentified IO error occurred while loading
10/13/2014 23:06:02 [INFO] No previous client list found, creating a new one
10/13/2014 23:06:02 [INFO] Starting to load settings.cdp
10/13/2014 23:06:02 [INFO] Done loading settings.cdp
10/13/2014 23:06:02 [INFO] Generating compressed user list with size 0
10/13/2014 23:06:06 [INFO] Generating list with size 257
10/13/2014 23:06:06 [INFO] Generating data for new user 621666450
10/13/2014 23:06:06 [INFO] Generating data for new user 364544326
10/13/2014 23:06:06 [INFO] Generating data for new user 517524404
10/13/2014 23:06:06 [INFO] Generating data for new user 437742262
10/13/2014 23:06:06 [INFO] Generating data for new user 087187141
10/13/2014 23:06:06 [INFO] Generating data for new user 561876136
10/13/2014 23:06:06 [INFO] Generating data for new user 312487543
10/13/2014 23:06:06 [INFO] Generating data for new user 671361345
10/13/2014 23:06:06 [INFO] Generating data for new user 660003834
10/13/2014 23:06:06 [INFO] Generating data for new user 084103077
10/13/2014 23:06:06 [INFO] Generating data for new user 188160284
10/13/2014 23:06:06 [INFO] Generating data for new user 441280850
10/13/2014 23:06:06 [INFO] Generating data for new user 868318632
10/13/2014 23:06:06 [INFO] Generating data for new user 420687743
10/13/2014 23:06:06 [INFO] Generating data for new user 674513857
10/13/2014 23:06:06 [INFO] Generating data for new user 748478183
10/13/2014 23:06:06 [INFO] Generating data for new user 088324764
10/13/2014 23:06:06 [INFO] Generating data for new user 822570554
10/13/2014 23:06:06 [INFO] Generating data for new user 423612016
10/13/2014 23:06:06 [INFO] Generating data for new user 284350720
10/13/2014 23:06:06 [INFO] Generating data for new user 765175353
10/13/2014 23:06:06 [INFO] Generating data for new user 264807662
10/13/2014 23:06:06 [INFO] Generating data for new user 050137266
10/13/2014 23:06:06 [INFO] Generating data for new user 156405184
10/13/2014 23:06:06 [INFO] Generating data for new user 564567236
10/13/2014 23:06:06 [INFO] Generating data for new user 011784473
10/13/2014 23:06:06 [INFO] Generating data for new user 871824211
10/13/2014 23:06:06 [INFO] Generating data for new user 632272454
10/13/2014 23:06:06 [INFO] Generating data for new user 682406426
10/13/2014 23:06:06 [INFO] Generating data for new user 072407312
10/13/2014 23:06:06 [INFO] Generating data for new user 383616757
10/13/2014 23:06:06 [INFO] Generating data for new user 447758314
10/13/2014 23:06:06 [INFO] Generating data for new user 256502226
10/13/2014 23:06:06 [INFO] Generating data for new user 117238164
10/13/2014 23:06:06 [INFO] Generating data for new user 731410851
10/13/2014 23:06:06 [INFO] Generating data for new user 311187016
10/13/2014 23:06:06 [INFO] Generating data for new user 337016078
10/13/2014 23:06:06 [INFO] Generating data for new user 848314521
10/13/2014 23:06:06 [INFO] Generating data for new user 000522783
10/13/2014 23:06:06 [INFO] Generating data for new user 564523476
10/13/2014 23:06:06 [INFO] Generating data for new user 028453527
10/13/2014 23:06:06 [INFO] Generating data for new user 376784750
10/13/2014 23:06:06 [INFO] Generating data for new user 681011868
10/13/2014 23:06:06 [INFO] Generating data for new user 423071062
10/13/2014 23:06:06 [INFO] Generating data for new user 023021615
10/13/2014 23:06:06 [INFO] Generating data for new user 251420080
10/13/2014 23:06:06 [INFO] Generating data for new user 063745433
10/13/2014 23:06:06 [INFO] Generating data for new user 716383345
10/13/2014 23:06:06 [INFO] Generating data for new user 644381122
10/13/2014 23:06:06 [INFO] Generating data for new user 760856243
10/13/2014 23:06:06 [INFO] Generating data for new user 565655673
10/13/2014 23:06:06 [INFO] Generating data for new user 847457618
10/13/2014 23:06:06 [INFO] Generating data for new user 665341064
10/13/2014 23:06:06 [INFO] Generating data for new user 578163056
10/13/2014 23:06:06 [INFO] Generating data for new user 430644145
10/13/2014 23:06:06 [INFO] Generating data for new user 503742711
10/13/2014 23:06:06 [INFO] Generating data for new user 845858473
10/13/2014 23:06:06 [INFO] Generating data for new user 612340536
10/13/2014 23:06:06 [INFO] Generating data for new user 033153750
10/13/2014 23:06:06 [INFO] Generating data for new user 731781762
